# 内蒙古12盟市观测数据 | 日期: 20250101 | 起报: 08时(BJT) | 时效: 12h
# station_id|name|lon|lat|precip_12h|precip_1h|wind_max_mps|wind_max_grade
53463|呼和浩特|111.7|40.8|2.61|1.21|6.41|4
53466|包头|109.8|40.7|2.29|0.65|3.72|3
53512|乌海|106.8|39.6|3.54|1.45|6.69|4
54218|赤峰|119.0|42.3|3.10|1.20|3.56|3
54135|通辽|122.3|43.6|4.04|1.78|3.98|3
53543|鄂尔多斯|109.8|39.6|4.38|1.95|4.47|3
50527|呼伦贝尔|119.8|49.2|3.40|0.98|5.65|4
53439|巴彦淖尔|107.4|40.7|1.40|0.51|6.69|4
53479|乌兰察布|113.1|41.0|2.01|0.62|5.98|4
50842|兴安盟|122.1|46.1|3.81|1.62|5.81|4
54102|锡林郭勒|116.0|44.0|1.42|0.49|5.33|3
52576|阿拉善|105.7|38.9|3.47|1.04|5.10|3
