# 内蒙古自治区多源融合预报
# 起报时间: 20250101 08:00 (BT)
# 预报时效: 12 小时
# 融合方法: weighted_average

序号,城市,经度,纬度,12小时累计降水量(mm),最大小时降水量(mm/h),最大风力等级(级),12小时累计降水量_标准差,最大小时降水量_标准差,最大风力等级_标准差,12小时累计降水量_数据源数,最大小时降水量_数据源数,最大风力等级_数据源数
1,呼和浩特,111.65,40.82,5.3,4.4,5,7.4,3.8,5,5,5,5
2,包头,109.85,40.66,3.2,3.0,9,0.4,0.8,4,5,5,5
3,乌海,106.78,39.65,3.8,3.9,9,1.9,1.8,4,5,5,5
4,赤峰,118.95,42.28,6.6,6.8,7,5.4,5.2,1,5,5,5
5,通辽,122.28,43.61,3.3,3.5,10,0.5,1.1,4,5,5,5
6,鄂尔多斯,109.78,39.61,3.9,3.7,11,1.5,1.7,3,5,5,5
7,呼伦贝尔,119.75,49.22,2.2,2.4,10,1.7,2.5,4,5,5,5
8,巴彦淖尔,107.38,40.74,1.9,1.4,6,2.3,1.2,3,5,5,5
9,乌兰察布,113.12,41.03,5.1,4.7,9,2.8,3.0,3,5,5,5
10,兴安盟,122.07,46.07,4.3,4.0,11,1.1,1.4,4,5,5,5
11,锡林郭勒,116.03,43.95,4.1,3.8,9,1.9,2.1,3,5,5,5
12,阿拉善,105.73,38.85,5.4,4.2,8,3.8,2.3,1,5,5,5

=== 各数据源详细数据 ===
城市,变量,EC,GRAPES,GRAPES_MESO,NCEP,OBS,融合结果
呼和浩特,12小时累计降水量,4.2,3.2,2.6,3.1,21.8,5.3
呼和浩特,最大小时降水量,4.2,3.2,2.6,3.1,12.7,4.4
呼和浩特,最大风力等级,3,3,5,13,13,5
包头,12小时累计降水量,3.1,2.9,3.3,4.0,3.0,3.2
包头,最大小时降水量,3.1,2.9,3.3,4.0,1.5,3.0
包头,最大风力等级,12,4,15,4,10,9
乌海,12小时累计降水量,3.3,5.2,1.9,7.2,3.0,3.8
乌海,最大小时降水量,3.3,5.2,1.9,7.2,3.8,3.9
乌海,最大风力等级,11,8,3,15,7,9
赤峰,12小时累计降水量,4.3,16.3,1.2,3.7,3.6,6.6
赤峰,最大小时降水量,4.3,16.3,1.2,3.7,6.0,6.8
赤峰,最大风力等级,6,6,9,7,6,7
通辽,12小时累计降水量,3.7,2.5,3.3,3.4,4.2,3.3
通辽,最大小时降水量,3.7,2.5,3.3,3.4,5.9,3.5
通辽,最大风力等级,11,11,3,14,10,10
鄂尔多斯,12小时累计降水量,4.8,5.4,1.2,2.7,3.7,3.9
鄂尔多斯,最大小时降水量,4.8,5.4,1.2,2.7,1.5,3.7
鄂尔多斯,最大风力等级,13,8,14,7,13,11
呼伦贝尔,12小时累计降水量,3.2,1.7,0.3,1.0,5.2,2.2
呼伦贝尔,最大小时降水量,3.2,1.7,0.3,1.0,7.4,2.4
呼伦贝尔,最大风力等级,15,9,4,6,11,10
巴彦淖尔,12小时累计降水量,0.6,0.5,3.9,1.3,6.4,1.9
巴彦淖尔,最大小时降水量,0.6,0.5,3.9,1.3,1.7,1.4
巴彦淖尔,最大风力等级,8,2,11,3,3,6
乌兰察布,12小时累计降水量,6.7,7.8,0.2,2.3,4.8,5.1
乌兰察布,最大小时降水量,6.7,7.8,0.2,2.3,1.2,4.7
乌兰察布,最大风力等级,9,7,10,14,6,9
兴安盟,12小时累计降水量,4.6,4.1,5.0,1.9,4.5,4.3
兴安盟,最大小时降水量,4.6,4.1,5.0,1.9,1.6,4.0
兴安盟,最大风力等级,14,13,5,14,5,11
锡林郭勒,12小时累计降水量,6.1,4.3,0.4,4.4,4.2,4.1
锡林郭勒,最大小时降水量,6.1,4.3,0.4,4.4,1.3,3.8
锡林郭勒,最大风力等级,11,12,3,8,10,9
阿拉善,12小时累计降水量,2.2,7.3,4.7,5.6,13.5,5.4
阿拉善,最大小时降水量,2.2,7.3,4.7,5.6,1.0,4.2
阿拉善,最大风力等级,8,8,7,10,9,8
