# 内蒙古自治区多源融合预报
# 起报时间: 20250101 08:00 (BT)
# 预报时效: 12 小时
# 融合方法: weighted_average

序号,城市,经度,纬度,12小时累计降水量(mm),最大小时降水量(mm/h),最大风力等级(级),12小时累计降水量_标准差,最大小时降水量_标准差,最大风力等级_标准差,12小时累计降水量_数据源数,最大小时降水量_数据源数,最大风力等级_数据源数
1,呼和浩特,111.65,40.82,3.9,2.2,2,0.0,0.0,0,1,1,1
2,包头,109.85,40.66,9.5,3.9,6,0.0,0.0,0,1,1,1
3,乌海,106.78,39.65,5.2,3.6,4,0.0,0.0,0,1,1,1
4,赤峰,118.95,42.28,3.7,3.0,12,0.0,0.0,0,1,1,1
5,通辽,122.28,43.61,1.1,6.5,15,0.0,0.0,0,1,1,1
6,鄂尔多斯,109.78,39.61,2.9,3.6,8,0.0,0.0,0,1,1,1
7,呼伦贝尔,119.75,49.22,3.8,5.5,3,0.0,0.0,0,1,1,1
8,巴彦淖尔,107.38,40.74,6.3,2.4,3,0.0,0.0,0,1,1,1
9,乌兰察布,113.12,41.03,4.8,6.2,4,0.0,0.0,0,1,1,1
10,兴安盟,122.07,46.07,4.2,1.0,4,0.0,0.0,0,1,1,1
11,锡林郭勒,116.03,43.95,4.9,3.3,11,0.0,0.0,0,1,1,1
12,阿拉善,105.73,38.85,3.9,3.7,5,0.0,0.0,0,1,1,1

=== 各数据源详细数据 ===
城市,变量,EC,GRAPES,GRAPES_MESO,NCEP,OBS,融合结果
呼和浩特,12小时累计降水量,-,-,-,-,3.9,3.9
呼和浩特,最大小时降水量,-,-,-,-,2.2,2.2
呼和浩特,最大风力等级,-,-,-,-,2,2
包头,12小时累计降水量,-,-,-,-,9.5,9.5
包头,最大小时降水量,-,-,-,-,3.9,3.9
包头,最大风力等级,-,-,-,-,6,6
乌海,12小时累计降水量,-,-,-,-,5.2,5.2
乌海,最大小时降水量,-,-,-,-,3.6,3.6
乌海,最大风力等级,-,-,-,-,4,4
赤峰,12小时累计降水量,-,-,-,-,3.7,3.7
赤峰,最大小时降水量,-,-,-,-,3.0,3.0
赤峰,最大风力等级,-,-,-,-,12,12
通辽,12小时累计降水量,-,-,-,-,1.1,1.1
通辽,最大小时降水量,-,-,-,-,6.5,6.5
通辽,最大风力等级,-,-,-,-,15,15
鄂尔多斯,12小时累计降水量,-,-,-,-,2.9,2.9
鄂尔多斯,最大小时降水量,-,-,-,-,3.6,3.6
鄂尔多斯,最大风力等级,-,-,-,-,8,8
呼伦贝尔,12小时累计降水量,-,-,-,-,3.8,3.8
呼伦贝尔,最大小时降水量,-,-,-,-,5.5,5.5
呼伦贝尔,最大风力等级,-,-,-,-,3,3
巴彦淖尔,12小时累计降水量,-,-,-,-,6.3,6.3
巴彦淖尔,最大小时降水量,-,-,-,-,2.4,2.4
巴彦淖尔,最大风力等级,-,-,-,-,3,3
乌兰察布,12小时累计降水量,-,-,-,-,4.8,4.8
乌兰察布,最大小时降水量,-,-,-,-,6.2,6.2
乌兰察布,最大风力等级,-,-,-,-,4,4
兴安盟,12小时累计降水量,-,-,-,-,4.2,4.2
兴安盟,最大小时降水量,-,-,-,-,1.0,1.0
兴安盟,最大风力等级,-,-,-,-,4,4
锡林郭勒,12小时累计降水量,-,-,-,-,4.9,4.9
锡林郭勒,最大小时降水量,-,-,-,-,3.3,3.3
锡林郭勒,最大风力等级,-,-,-,-,11,11
阿拉善,12小时累计降水量,-,-,-,-,3.9,3.9
阿拉善,最大小时降水量,-,-,-,-,3.7,3.7
阿拉善,最大风力等级,-,-,-,-,5,5
