# 内蒙古自治区多源融合预报
# 起报时间: 20260609 08:00 (BT)
# 预报时效: 12 小时
# 融合方法: weighted_average

序号,城市,经度,纬度,12小时累计降水量(mm),最大小时降水量(mm/h),最大风力等级(级),12小时累计降水量_标准差,最大小时降水量_标准差,最大风力等级_标准差,12小时累计降水量_数据源数,最大小时降水量_数据源数,最大风力等级_数据源数
1,呼和浩特,111.65,40.82,0.9,0.5,8,1.1,0.6,2,3,3,2
2,包头,109.85,40.66,1.5,1.1,4,2.2,2.4,0,3,3,2
3,乌海,106.78,39.65,1.9,1.3,9,2.4,2.5,3,3,3,2
4,赤峰,118.95,42.28,2.2,1.7,6,3.5,3.7,3,3,3,2
5,通辽,122.28,43.61,1.6,1.1,8,1.8,1.6,5,3,3,2
6,鄂尔多斯,109.78,39.61,2.3,1.6,8,2.9,2.9,4,3,3,2
7,呼伦贝尔,119.75,49.22,1.1,0.5,9,1.4,0.6,4,3,3,2
8,巴彦淖尔,107.38,40.74,1.1,0.9,8,1.9,2.0,2,3,3,2
9,乌兰察布,113.12,41.03,0.9,0.5,7,1.0,0.9,1,3,3,2
10,兴安盟,122.07,46.07,1.3,0.8,5,1.6,0.9,1,3,3,2
11,锡林郭勒,116.03,43.95,0.9,0.7,5,1.3,1.4,0,3,3,2
12,阿拉善,105.73,38.85,1.3,0.7,4,1.5,1.0,1,3,3,2

=== 各数据源详细数据 ===
城市,变量,EC,GRAPES,GRAPES_MESO,NCEP,OBS,融合结果
呼和浩特,12小时累计降水量,0.0,-,-,1.4,2.6,0.9
呼和浩特,最大小时降水量,0.0,-,-,1.4,1.2,0.5
呼和浩特,最大风力等级,-,-,-,10,6,8
包头,12小时累计降水量,0.0,-,-,5.4,2.3,1.5
包头,最大小时降水量,0.0,-,-,5.4,0.7,1.1
包头,最大风力等级,-,-,-,5,4,4
乌海,12小时累计降水量,0.0,-,-,5.9,3.5,1.9
乌海,最大小时降水量,0.0,-,-,5.9,1.4,1.3
乌海,最大风力等级,-,-,-,14,7,9
赤峰,12小时累计降水量,0.0,-,-,8.4,3.1,2.2
赤峰,最大小时降水量,0.0,-,-,8.4,1.2,1.7
赤峰,最大风力等级,-,-,-,11,4,6
通辽,12小时累计降水量,0.0,-,-,3.8,4.0,1.6
通辽,最大小时降水量,0.0,-,-,3.8,1.8,1.1
通辽,最大风力等级,-,-,-,15,4,8
鄂尔多斯,12小时累计降水量,0.0,-,-,6.9,4.4,2.3
鄂尔多斯,最大小时降水量,0.0,-,-,6.9,1.9,1.6
鄂尔多斯,最大风力等级,-,-,-,13,4,8
呼伦贝尔,12小时累计降水量,0.0,-,-,1.3,3.4,1.1
呼伦贝尔,最大小时降水量,0.0,-,-,1.3,1.0,0.5
呼伦贝尔,最大风力等级,-,-,-,15,6,9
巴彦淖尔,12小时累计降水量,0.0,-,-,4.4,1.4,1.1
巴彦淖尔,最大小时降水量,0.0,-,-,4.4,0.5,0.9
巴彦淖尔,最大风力等级,-,-,-,10,7,8
乌兰察布,12小时累计降水量,0.0,-,-,2.1,2.0,0.9
乌兰察布,最大小时降水量,0.0,-,-,2.1,0.6,0.5
乌兰察布,最大风力等级,-,-,-,9,6,7
兴安盟,12小时累计降水量,0.0,-,-,2.3,3.8,1.3
兴安盟,最大小时降水量,0.0,-,-,2.3,1.6,0.8
兴安盟,最大风力等级,-,-,-,3,6,5
锡林郭勒,12小时累计降水量,0.0,-,-,3.3,1.4,0.9
锡林郭勒,最大小时降水量,0.0,-,-,3.3,0.5,0.7
锡林郭勒,最大风力等级,-,-,-,5,5,5
阿拉善,12小时累计降水量,0.0,-,-,2.5,3.5,1.3
阿拉善,最大小时降水量,0.0,-,-,2.5,1.0,0.7
阿拉善,最大风力等级,-,-,-,3,5,4
