# 内蒙古自治区多源融合预报
# 起报时间: 20260609 08:00 (BT)
# 预报时效: 12 小时
# 融合方法: weighted_average

序号,城市,经度,纬度,12小时累计降水量(mm),最大小时降水量(mm/h),最大风力等级(级),12小时累计降水量_标准差,最大小时降水量_标准差,最大风力等级_标准差,12小时累计降水量_数据源数,最大小时降水量_数据源数,最大风力等级_数据源数
1,呼和浩特,111.65,40.82,4.4,4.9,12,1.8,0.6,5,2,2,2
2,包头,109.85,40.66,4.3,5.1,6,0.6,2.5,5,2,2,2
3,乌海,106.78,39.65,4.3,3.9,7,0.4,1.4,2,2,2,2
4,赤峰,118.95,42.28,4.2,3.8,6,0.9,1.9,4,2,2,2
5,通辽,122.28,43.61,1.2,0.9,6,0.5,0.0,3,2,2,2
6,鄂尔多斯,109.78,39.61,3.8,2.7,12,1.6,1.0,6,2,2,2
7,呼伦贝尔,119.75,49.22,3.3,4.0,7,1.6,0.2,0,2,2,2
8,巴彦淖尔,107.38,40.74,1.9,3.6,5,0.4,4.3,0,2,2,2
9,乌兰察布,113.12,41.03,4.4,3.6,12,0.1,1.7,2,2,2,2
10,兴安盟,122.07,46.07,8.5,7.4,6,0.9,3.5,2,2,2,2
11,锡林郭勒,116.03,43.95,1.1,1.7,6,0.7,0.5,0,2,2,2
12,阿拉善,105.73,38.85,2.8,3.1,11,0.5,0.1,3,2,2,2

=== 各数据源详细数据 ===
城市,变量,EC,GRAPES,GRAPES_MESO,NCEP,OBS,融合结果
呼和浩特,12小时累计降水量,5.2,-,-,-,1.6,4.4
呼和浩特,最大小时降水量,5.2,-,-,-,3.9,4.9
呼和浩特,最大风力等级,15,-,-,-,4,12
包头,12小时累计降水量,4.0,-,-,-,5.3,4.3
包头,最大小时降水量,4.0,-,-,-,8.9,5.1
包头,最大风力等级,3,-,-,-,13,6
乌海,12小时累计降水量,4.5,-,-,-,3.7,4.3
乌海,最大小时降水量,4.5,-,-,-,1.6,3.9
乌海,最大风力等级,6,-,-,-,11,7
赤峰,12小时累计降水量,4.6,-,-,-,2.8,4.2
赤峰,最大小时降水量,4.6,-,-,-,0.9,3.8
赤峰,最大风力等级,4,-,-,-,11,6
通辽,12小时累计降水量,1.0,-,-,-,1.9,1.2
通辽,最大小时降水量,1.0,-,-,-,0.9,0.9
通辽,最大风力等级,5,-,-,-,12,6
鄂尔多斯,12小时累计降水量,3.1,-,-,-,6.3,3.8
鄂尔多斯,最大小时降水量,3.1,-,-,-,1.0,2.7
鄂尔多斯,最大风力等级,14,-,-,-,2,12
呼伦贝尔,12小时累计降水量,4.1,-,-,-,0.8,3.3
呼伦贝尔,最大小时降水量,4.1,-,-,-,3.7,4.0
呼伦贝尔,最大风力等级,7,-,-,-,6,7
巴彦淖尔,12小时累计降水量,1.7,-,-,-,2.5,1.9
巴彦淖尔,最大小时降水量,1.7,-,-,-,10.3,3.6
巴彦淖尔,最大风力等级,5,-,-,-,5,5
乌兰察布,12小时累计降水量,4.3,-,-,-,4.6,4.4
乌兰察布,最大小时降水量,4.3,-,-,-,1.0,3.6
乌兰察布,最大风力等级,13,-,-,-,9,12
兴安盟,12小时累计降水量,8.9,-,-,-,7.1,8.5
兴安盟,最大小时降水量,8.9,-,-,-,1.9,7.4
兴安盟,最大风力等级,5,-,-,-,9,6
锡林郭勒,12小时累计降水量,1.4,-,-,-,0.0,1.1
锡林郭勒,最大小时降水量,1.4,-,-,-,2.4,1.7
锡林郭勒,最大风力等级,6,-,-,-,6,6
阿拉善,12小时累计降水量,3.0,-,-,-,2.1,2.8
阿拉善,最大小时降水量,3.0,-,-,-,3.2,3.1
阿拉善,最大风力等级,12,-,-,-,6,11
